[01:06:02.823] Namespace(root_path='./datasets/kits23/train_npz', dataset='kits23', list_dir='./lists/kits23', num_classes=4, model_num_classes=9, output_dir='./baseline_kits23_no_tpgm', max_iterations=10000, max_epochs=20, batch_size=16, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./pretrain/epoch_149.pth', data_fraction=0.2, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=200, tpgm_exclude=[], tpgm_frequency=5, tpgm_start_epoch=10, disable_tpgm=True, gpu_id=0)
[01:06:02.856] Using 19044/95221 samples for finetuning
[01:06:02.856] Using 50/95221 samples for TPGM
[01:06:02.856] TPGM enabled: False
[01:06:02.894] 1191 iterations per epoch
[01:06:20.718] Epoch 0, Iter 10: loss=0.4074, ce=0.0550, dice=0.6424, grad_norm=0.474732
[01:06:27.535] Epoch 0, Iter 20: loss=0.3642, ce=0.0241, dice=0.5909, grad_norm=0.948803
[01:06:34.617] Epoch 0, Iter 30: loss=0.2298, ce=0.0727, dice=0.3346, grad_norm=0.931771
[01:06:41.793] Epoch 0, Iter 40: loss=0.3684, ce=0.0537, dice=0.5781, grad_norm=0.312207
[01:06:49.032] Epoch 0, Iter 50: loss=0.1578, ce=0.0044, dice=0.2601, grad_norm=0.120845
[01:06:56.039] Epoch 0, Iter 60: loss=0.3297, ce=0.0141, dice=0.5400, grad_norm=0.563895
[01:07:03.031] Epoch 0, Iter 70: loss=0.2399, ce=0.0183, dice=0.3877, grad_norm=2.211648
[01:07:09.962] Epoch 0, Iter 80: loss=0.0612, ce=0.0090, dice=0.0960, grad_norm=0.960856
[01:07:16.887] Epoch 0, Iter 90: loss=0.2571, ce=0.0191, dice=0.4158, grad_norm=3.499709
[01:07:23.793] Epoch 0, Iter 100: loss=0.2015, ce=0.0189, dice=0.3232, grad_norm=0.529563
[01:07:26.236] Epoch 0, Iter 110: loss=0.1859, ce=0.0182, dice=0.2977, grad_norm=0.432337
[01:07:28.625] Epoch 0, Iter 120: loss=0.3678, ce=0.0220, dice=0.5983, grad_norm=0.450335
[01:07:31.067] Epoch 0, Iter 130: loss=0.3137, ce=0.0082, dice=0.5174, grad_norm=0.519790
[01:07:33.508] Epoch 0, Iter 140: loss=0.1705, ce=0.0049, dice=0.2809, grad_norm=0.540718
[01:07:35.972] Epoch 0, Iter 150: loss=0.1789, ce=0.0087, dice=0.2924, grad_norm=0.598283
[01:07:38.405] Epoch 0, Iter 160: loss=0.3360, ce=0.0077, dice=0.5548, grad_norm=0.525082
[01:07:40.844] Epoch 0, Iter 170: loss=0.3180, ce=0.0063, dice=0.5258, grad_norm=0.275649
[01:07:43.866] Epoch 0, Iter 180: loss=0.3097, ce=0.0240, dice=0.5002, grad_norm=1.172065
[01:07:48.327] Epoch 0, Iter 190: loss=0.2402, ce=0.0077, dice=0.3952, grad_norm=3.211454
[01:07:52.733] Epoch 0, Iter 200: loss=0.1724, ce=0.0042, dice=0.2845, grad_norm=0.659328
[01:07:56.659] Epoch 0, Iter 210: loss=0.2180, ce=0.0286, dice=0.3444, grad_norm=0.530940
[01:08:00.562] Epoch 0, Iter 220: loss=0.1880, ce=0.0148, dice=0.3035, grad_norm=1.541018
[01:08:04.287] Epoch 0, Iter 230: loss=0.1300, ce=0.0072, dice=0.2119, grad_norm=2.930212
[01:08:08.488] Epoch 0, Iter 240: loss=0.3068, ce=0.0041, dice=0.5086, grad_norm=0.794133
[01:08:12.554] Epoch 0, Iter 250: loss=0.0553, ce=0.0031, dice=0.0901, grad_norm=2.728724
[01:08:16.782] Epoch 0, Iter 260: loss=0.3134, ce=0.0110, dice=0.5149, grad_norm=0.311832
[01:08:20.956] Epoch 0, Iter 270: loss=0.1217, ce=0.0052, dice=0.1994, grad_norm=1.564718
[01:08:25.100] Epoch 0, Iter 280: loss=0.2492, ce=0.0094, dice=0.4091, grad_norm=2.293772
[01:08:29.321] Epoch 0, Iter 290: loss=0.3204, ce=0.0152, dice=0.5238, grad_norm=0.594342
[01:08:33.533] Epoch 0, Iter 300: loss=0.2669, ce=0.0135, dice=0.4359, grad_norm=0.505180
