[04:05:32.067] Namespace(root_path='./datasets/kits23/train_npz', dataset='kits23', list_dir='./lists/kits23', num_classes=4, model_num_classes=9, output_dir='./finetune_tpgm_kits23_debug', max_iterations=10000, max_epochs=20, batch_size=16, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./pretrain/epoch_149.pth', data_fraction=0.2, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=100, tpgm_exclude=[], tpgm_frequency=5, tpgm_start_epoch=10, disable_tpgm=False, gpu_id=0)
[04:05:32.099] Using 19044/95221 samples for finetuning
[04:05:32.099] Using 50/95221 samples for TPGM
[04:05:32.099] TPGM enabled: True
[04:05:43.114] 1191 iterations per epoch
[04:05:56.591] Epoch 0, Iter 10: loss=0.4196, ce=0.1217, dice=0.6183, grad_norm=1.842636
[04:05:58.978] Epoch 0, Iter 20: loss=0.3742, ce=0.1365, dice=0.5326, grad_norm=0.211666
[04:06:01.490] Epoch 0, Iter 30: loss=0.3356, ce=0.0201, dice=0.5459, grad_norm=0.850464
[04:06:04.004] Epoch 0, Iter 40: loss=0.3853, ce=0.0281, dice=0.6235, grad_norm=1.561704
[04:06:06.411] Epoch 0, Iter 50: loss=0.1723, ce=0.0082, dice=0.2817, grad_norm=0.495884
[04:06:08.957] Epoch 0, Iter 60: loss=0.2033, ce=0.0358, dice=0.3149, grad_norm=1.069301
[04:06:11.454] Epoch 0, Iter 70: loss=0.1528, ce=0.0020, dice=0.2534, grad_norm=0.243073
[04:06:13.863] Epoch 0, Iter 80: loss=0.0367, ce=0.0121, dice=0.0532, grad_norm=1.253923
[04:06:16.246] Epoch 0, Iter 90: loss=0.0196, ce=0.0040, dice=0.0300, grad_norm=0.524176
[04:06:18.648] Epoch 0, Iter 100: loss=0.2247, ce=0.1091, dice=0.3017, grad_norm=0.652980
[04:06:21.069] Epoch 0, Iter 110: loss=0.3441, ce=0.0555, dice=0.5365, grad_norm=0.385614
[04:06:23.544] Epoch 0, Iter 120: loss=0.1754, ce=0.0478, dice=0.2604, grad_norm=0.073315
[04:06:26.118] Epoch 0, Iter 130: loss=0.3846, ce=0.1415, dice=0.5466, grad_norm=0.504863
[04:06:28.668] Epoch 0, Iter 140: loss=0.1721, ce=0.0297, dice=0.2671, grad_norm=0.163628
[04:06:31.229] Epoch 0, Iter 150: loss=0.1781, ce=0.0492, dice=0.2641, grad_norm=0.046937
[04:06:33.778] Epoch 0, Iter 160: loss=0.2033, ce=0.0104, dice=0.3319, grad_norm=0.087815
[04:06:36.296] Epoch 0, Iter 170: loss=0.3746, ce=0.0307, dice=0.6039, grad_norm=0.883233
[04:06:38.841] Epoch 0, Iter 180: loss=0.1995, ce=0.0543, dice=0.2962, grad_norm=0.296405
[04:06:41.417] Epoch 0, Iter 190: loss=0.1864, ce=0.0408, dice=0.2835, grad_norm=0.190042
[04:06:44.014] Epoch 0, Iter 200: loss=0.1555, ce=0.0017, dice=0.2580, grad_norm=0.097927
[04:06:46.461] Epoch 0, Iter 210: loss=0.3223, ce=0.0214, dice=0.5229, grad_norm=0.269559
[04:06:48.862] Epoch 0, Iter 220: loss=0.3321, ce=0.0322, dice=0.5320, grad_norm=0.096691
[04:06:51.270] Epoch 0, Iter 230: loss=0.1673, ce=0.0136, dice=0.2697, grad_norm=0.244559
[04:06:53.667] Epoch 0, Iter 240: loss=0.3350, ce=0.0414, dice=0.5306, grad_norm=0.207960
[04:06:56.108] Epoch 0, Iter 250: loss=0.2382, ce=0.1043, dice=0.3275, grad_norm=0.722454
[04:06:58.507] Epoch 0, Iter 260: loss=0.3473, ce=0.0298, dice=0.5589, grad_norm=0.888809
[04:07:00.928] Epoch 0, Iter 270: loss=0.1634, ce=0.0026, dice=0.2706, grad_norm=0.243369
[04:07:03.375] Epoch 0, Iter 280: loss=0.3746, ce=0.1116, dice=0.5499, grad_norm=0.714750
[04:07:05.951] Epoch 0, Iter 290: loss=0.3282, ce=0.0356, dice=0.5233, grad_norm=0.255807
[04:07:08.430] Epoch 0, Iter 300: loss=0.3371, ce=0.0638, dice=0.5193, grad_norm=0.152608
[04:07:10.841] Epoch 0, Iter 310: loss=0.3546, ce=0.0568, dice=0.5531, grad_norm=0.304303
[04:07:13.231] Epoch 0, Iter 320: loss=0.1721, ce=0.0226, dice=0.2717, grad_norm=0.147910
[04:07:15.801] Epoch 0, Iter 330: loss=0.1787, ce=0.0326, dice=0.2761, grad_norm=0.392401
[04:07:18.383] Epoch 0, Iter 340: loss=0.1593, ce=0.0044, dice=0.2626, grad_norm=0.077129
[04:07:20.941] Epoch 0, Iter 350: loss=0.3305, ce=0.0223, dice=0.5360, grad_norm=0.370650
[04:07:23.371] Epoch 0, Iter 360: loss=0.3163, ce=0.0200, dice=0.5139, grad_norm=0.092667
[04:07:25.826] Epoch 0, Iter 370: loss=0.3422, ce=0.0720, dice=0.5223, grad_norm=0.204437
[04:07:28.225] Epoch 0, Iter 380: loss=0.1619, ce=0.0059, dice=0.2658, grad_norm=0.083118
[04:07:30.640] Epoch 0, Iter 390: loss=0.2029, ce=0.0393, dice=0.3120, grad_norm=0.518557
[04:07:33.055] Epoch 0, Iter 400: loss=0.0243, ce=0.0063, dice=0.0363, grad_norm=0.829346
[04:07:35.564] Epoch 0, Iter 410: loss=0.3179, ce=0.0178, dice=0.5179, grad_norm=0.176426
[04:07:37.969] Epoch 0, Iter 420: loss=0.3235, ce=0.0196, dice=0.5260, grad_norm=0.116181
[04:07:40.382] Epoch 0, Iter 430: loss=0.1644, ce=0.0117, dice=0.2662, grad_norm=0.106784
[04:07:42.786] Epoch 0, Iter 440: loss=0.1406, ce=0.0010, dice=0.2336, grad_norm=1.326280
[04:07:45.194] Epoch 0, Iter 450: loss=0.1756, ce=0.0422, dice=0.2645, grad_norm=0.082948
[04:07:47.592] Epoch 0, Iter 460: loss=0.3166, ce=0.0162, dice=0.5169, grad_norm=0.057939
[04:07:50.000] Epoch 0, Iter 470: loss=0.3181, ce=0.0120, dice=0.5221, grad_norm=0.172983
[04:07:52.394] Epoch 0, Iter 480: loss=0.1775, ce=0.0139, dice=0.2866, grad_norm=0.407039
[04:07:54.800] Epoch 0, Iter 490: loss=0.3288, ce=0.0437, dice=0.5189, grad_norm=0.121393
[04:07:57.212] Epoch 0, Iter 500: loss=0.1911, ce=0.0342, dice=0.2956, grad_norm=0.247716
[04:07:59.624] Epoch 0, Iter 510: loss=0.3173, ce=0.0141, dice=0.5194, grad_norm=0.107116
[04:08:02.042] Epoch 0, Iter 520: loss=0.3230, ce=0.0196, dice=0.5252, grad_norm=0.216522
[04:08:04.431] Epoch 0, Iter 530: loss=0.0173, ce=0.0048, dice=0.0257, grad_norm=0.145717
[04:08:06.837] Epoch 0, Iter 540: loss=0.1580, ce=0.0011, dice=0.2626, grad_norm=0.189546
[04:08:09.272] Epoch 0, Iter 550: loss=0.3403, ce=0.0525, dice=0.5322, grad_norm=0.248641
[04:08:11.647] Epoch 0, Iter 560: loss=0.1667, ce=0.0095, dice=0.2715, grad_norm=0.175023
[04:08:14.037] Epoch 0, Iter 570: loss=0.1746, ce=0.0301, dice=0.2709, grad_norm=0.213160
[04:08:16.433] Epoch 0, Iter 580: loss=0.3226, ce=0.0261, dice=0.5202, grad_norm=0.193873
[04:08:18.851] Epoch 0, Iter 590: loss=0.3069, ce=0.0033, dice=0.5092, grad_norm=0.062302
[04:08:21.236] Epoch 0, Iter 600: loss=0.1608, ce=0.0037, dice=0.2655, grad_norm=0.318266
[04:08:23.644] Epoch 0, Iter 610: loss=0.1839, ce=0.0340, dice=0.2838, grad_norm=0.408208
[04:08:26.034] Epoch 0, Iter 620: loss=0.1821, ce=0.0238, dice=0.2877, grad_norm=0.166712
[04:08:28.443] Epoch 0, Iter 630: loss=0.3320, ce=0.0309, dice=0.5327, grad_norm=0.188138
[04:08:30.855] Epoch 0, Iter 640: loss=0.3267, ce=0.0161, dice=0.5337, grad_norm=0.143152
[04:08:33.269] Epoch 0, Iter 650: loss=0.1598, ce=0.0054, dice=0.2627, grad_norm=0.039159
[04:08:35.676] Epoch 0, Iter 660: loss=0.3345, ce=0.0449, dice=0.5275, grad_norm=0.293161
[04:08:38.075] Epoch 0, Iter 670: loss=0.1867, ce=0.0412, dice=0.2837, grad_norm=0.277684
[04:08:40.460] Epoch 0, Iter 680: loss=0.1722, ce=0.0219, dice=0.2724, grad_norm=0.227537
[04:08:42.864] Epoch 0, Iter 690: loss=0.3126, ce=0.0084, dice=0.5154, grad_norm=0.230145
[04:08:45.257] Epoch 0, Iter 700: loss=0.3227, ce=0.0198, dice=0.5247, grad_norm=0.206537
[04:08:47.680] Epoch 0, Iter 710: loss=0.0038, ce=0.0004, dice=0.0061, grad_norm=0.119303
[04:08:50.078] Epoch 0, Iter 720: loss=0.1889, ce=0.0779, dice=0.2629, grad_norm=1.036339
[04:08:52.491] Epoch 0, Iter 730: loss=0.1745, ce=0.0179, dice=0.2788, grad_norm=0.178302
[04:08:54.901] Epoch 0, Iter 740: loss=0.3191, ce=0.0250, dice=0.5151, grad_norm=0.119633
[04:08:57.309] Epoch 0, Iter 750: loss=0.3221, ce=0.0200, dice=0.5235, grad_norm=0.069491
[04:08:59.699] Epoch 0, Iter 760: loss=0.0076, ce=0.0017, dice=0.0116, grad_norm=0.151070
[04:09:02.126] Epoch 0, Iter 770: loss=0.1731, ce=0.0202, dice=0.2750, grad_norm=0.145424
[04:09:04.518] Epoch 0, Iter 780: loss=0.1571, ce=0.0033, dice=0.2596, grad_norm=0.084451
[04:09:06.939] Epoch 0, Iter 790: loss=0.1632, ce=0.0054, dice=0.2684, grad_norm=0.233802
[04:09:09.330] Epoch 0, Iter 800: loss=0.1746, ce=0.0091, dice=0.2849, grad_norm=0.067240
[04:09:11.736] Epoch 0, Iter 810: loss=0.3095, ce=0.0034, dice=0.5137, grad_norm=0.130247
[04:09:14.139] Epoch 0, Iter 820: loss=0.1879, ce=0.0277, dice=0.2946, grad_norm=0.398491
[04:09:16.534] Epoch 0, Iter 830: loss=0.3232, ce=0.0238, dice=0.5228, grad_norm=0.134339
[04:09:18.935] Epoch 0, Iter 840: loss=0.3704, ce=0.1208, dice=0.5368, grad_norm=0.408920
[04:09:21.330] Epoch 0, Iter 850: loss=0.1788, ce=0.0370, dice=0.2734, grad_norm=0.107587
[04:09:23.729] Epoch 0, Iter 860: loss=0.3126, ce=0.0085, dice=0.5154, grad_norm=0.107128
[04:09:26.151] Epoch 0, Iter 870: loss=0.1749, ce=0.0106, dice=0.2844, grad_norm=1.092715
[04:09:28.547] Epoch 0, Iter 880: loss=0.1572, ce=0.0008, dice=0.2614, grad_norm=0.214399
[04:09:30.968] Epoch 0, Iter 890: loss=0.3980, ce=0.1975, dice=0.5316, grad_norm=0.247689
[04:09:33.410] Epoch 0, Iter 900: loss=0.1697, ce=0.0060, dice=0.2789, grad_norm=0.273968
[04:09:35.937] Epoch 0, Iter 910: loss=0.3185, ce=0.0191, dice=0.5182, grad_norm=0.099347
[04:09:38.526] Epoch 0, Iter 920: loss=0.1709, ce=0.0169, dice=0.2737, grad_norm=0.324508
[04:09:41.051] Epoch 0, Iter 930: loss=0.3168, ce=0.0115, dice=0.5203, grad_norm=0.111596
[04:09:43.588] Epoch 0, Iter 940: loss=0.3101, ce=0.0069, dice=0.5123, grad_norm=0.083370
[04:09:46.039] Epoch 0, Iter 950: loss=0.3355, ce=0.0564, dice=0.5215, grad_norm=0.199593
[04:09:48.591] Epoch 0, Iter 960: loss=0.1659, ce=0.0121, dice=0.2685, grad_norm=0.053404
[04:09:51.097] Epoch 0, Iter 970: loss=0.0063, ce=0.0005, dice=0.0101, grad_norm=0.028448
[04:09:53.462] Epoch 0, Iter 980: loss=0.3306, ce=0.0252, dice=0.5342, grad_norm=0.103737
[04:09:55.861] Epoch 0, Iter 990: loss=0.1555, ce=0.0025, dice=0.2575, grad_norm=0.056693
[04:09:58.278] Epoch 0, Iter 1000: loss=0.1776, ce=0.0247, dice=0.2795, grad_norm=0.287313
[04:10:00.722] Epoch 0, Iter 1010: loss=0.2108, ce=0.1110, dice=0.2773, grad_norm=0.164258
[04:10:03.287] Epoch 0, Iter 1020: loss=0.3221, ce=0.0223, dice=0.5221, grad_norm=0.163086
[04:10:05.823] Epoch 0, Iter 1030: loss=0.3138, ce=0.0122, dice=0.5149, grad_norm=0.053083
[04:10:08.362] Epoch 0, Iter 1040: loss=0.1619, ce=0.0089, dice=0.2640, grad_norm=0.071028
[04:10:10.956] Epoch 0, Iter 1050: loss=0.3434, ce=0.0699, dice=0.5257, grad_norm=0.214911
[04:10:13.504] Epoch 0, Iter 1060: loss=0.1096, ce=0.0004, dice=0.1823, grad_norm=3.075438
[04:10:16.068] Epoch 0, Iter 1070: loss=0.3431, ce=0.0257, dice=0.5547, grad_norm=0.540335
[04:10:18.634] Epoch 0, Iter 1080: loss=0.1565, ce=0.0018, dice=0.2596, grad_norm=0.138999
[04:10:21.200] Epoch 0, Iter 1090: loss=0.3605, ce=0.1161, dice=0.5235, grad_norm=0.209768
[04:10:23.765] Epoch 0, Iter 1100: loss=0.3250, ce=0.0126, dice=0.5333, grad_norm=0.087831
[04:10:26.312] Epoch 0, Iter 1110: loss=0.1732, ce=0.0401, dice=0.2620, grad_norm=0.275585
[04:10:28.868] Epoch 0, Iter 1120: loss=0.1747, ce=0.0238, dice=0.2753, grad_norm=0.117221
[04:10:31.423] Epoch 0, Iter 1130: loss=0.3264, ce=0.0230, dice=0.5286, grad_norm=0.337672
[04:10:33.888] Epoch 0, Iter 1140: loss=0.3293, ce=0.0267, dice=0.5310, grad_norm=0.132602
[04:10:36.315] Epoch 0, Iter 1150: loss=0.3200, ce=0.0200, dice=0.5200, grad_norm=0.207508
[04:10:38.728] Epoch 0, Iter 1160: loss=0.3248, ce=0.0218, dice=0.5268, grad_norm=0.199262
[04:10:41.131] Epoch 0, Iter 1170: loss=0.3697, ce=0.1315, dice=0.5285, grad_norm=0.252135
[04:10:43.530] Epoch 0, Iter 1180: loss=0.1953, ce=0.0156, dice=0.3151, grad_norm=0.223551
[04:10:45.926] Epoch 0, Iter 1190: loss=0.3498, ce=0.0509, dice=0.5491, grad_norm=0.168688
[04:10:46.731] Epoch 0: Avg Loss=0.2473, CE=0.0297, Dice=0.3924
[04:10:59.795] Epoch 1, Iter 1200: loss=0.1625, ce=0.0048, dice=0.2676, grad_norm=0.178511
[04:11:02.191] Epoch 1, Iter 1210: loss=0.3138, ce=0.0106, dice=0.5160, grad_norm=0.101549
[04:11:04.567] Epoch 1, Iter 1220: loss=0.1615, ce=0.0107, dice=0.2621, grad_norm=0.067507
[04:11:07.009] Epoch 1, Iter 1230: loss=0.3267, ce=0.0314, dice=0.5236, grad_norm=0.081754
[04:11:09.567] Epoch 1, Iter 1240: loss=0.1998, ce=0.0597, dice=0.2932, grad_norm=0.302996
[04:11:12.065] Epoch 1, Iter 1250: loss=0.1778, ce=0.0378, dice=0.2712, grad_norm=0.172517
[04:11:14.509] Epoch 1, Iter 1260: loss=0.1575, ce=0.0051, dice=0.2591, grad_norm=0.044974
[04:11:16.989] Epoch 1, Iter 1270: loss=0.1609, ce=0.0029, dice=0.2662, grad_norm=0.049713
[04:11:19.378] Epoch 1, Iter 1280: loss=0.2440, ce=0.0024, dice=0.4051, grad_norm=2.232767
[04:11:21.760] Epoch 1, Iter 1290: loss=0.1573, ce=0.0031, dice=0.2602, grad_norm=0.055297
[04:11:24.166] Epoch 1, Iter 1300: loss=0.3585, ce=0.0683, dice=0.5520, grad_norm=0.414637
[04:11:26.598] Epoch 1, Iter 1310: loss=0.1748, ce=0.0294, dice=0.2717, grad_norm=0.124772
[04:11:29.027] Epoch 1, Iter 1320: loss=0.3130, ce=0.0094, dice=0.5155, grad_norm=0.252396
[04:11:31.472] Epoch 1, Iter 1330: loss=0.3748, ce=0.1103, dice=0.5511, grad_norm=0.298041
[04:11:33.885] Epoch 1, Iter 1340: loss=0.1570, ce=0.0059, dice=0.2577, grad_norm=0.035309
[04:11:36.442] Epoch 1, Iter 1350: loss=0.3468, ce=0.0897, dice=0.5183, grad_norm=0.160504
[04:11:38.942] Epoch 1, Iter 1360: loss=0.3466, ce=0.0740, dice=0.5283, grad_norm=0.159752
[04:11:41.422] Epoch 1, Iter 1370: loss=0.1961, ce=0.0240, dice=0.3108, grad_norm=1.359943
[04:11:43.854] Epoch 1, Iter 1380: loss=0.1666, ce=0.0076, dice=0.2725, grad_norm=0.161835
[04:11:46.238] Epoch 1, Iter 1390: loss=0.3212, ce=0.0227, dice=0.5202, grad_norm=0.141587
[04:11:48.663] Epoch 1, Iter 1400: loss=0.1690, ce=0.0086, dice=0.2759, grad_norm=0.210436
[04:11:51.039] Epoch 1, Iter 1410: loss=0.3171, ce=0.0126, dice=0.5200, grad_norm=0.164104
[04:11:53.431] Epoch 1, Iter 1420: loss=0.3330, ce=0.0303, dice=0.5349, grad_norm=0.548821
[04:11:55.811] Epoch 1, Iter 1430: loss=0.1587, ce=0.0032, dice=0.2624, grad_norm=0.033115
[04:11:58.191] Epoch 1, Iter 1440: loss=0.1658, ce=0.0117, dice=0.2685, grad_norm=0.049980
[04:12:00.583] Epoch 1, Iter 1450: loss=0.3275, ce=0.0354, dice=0.5223, grad_norm=0.216186
[04:12:03.033] Epoch 1, Iter 1460: loss=0.0083, ce=0.0012, dice=0.0130, grad_norm=0.106685
[04:12:05.579] Epoch 1, Iter 1470: loss=0.3373, ce=0.0689, dice=0.5162, grad_norm=0.138523
[04:12:08.139] Epoch 1, Iter 1480: loss=0.1662, ce=0.0188, dice=0.2644, grad_norm=0.205976
[04:12:10.651] Epoch 1, Iter 1490: loss=0.1578, ce=0.0046, dice=0.2599, grad_norm=0.064602
[04:12:13.041] Epoch 1, Iter 1500: loss=0.0169, ce=0.0015, dice=0.0272, grad_norm=1.270849
[04:12:15.470] Epoch 1, Iter 1510: loss=0.1611, ce=0.0041, dice=0.2657, grad_norm=0.037720
[04:12:17.874] Epoch 1, Iter 1520: loss=0.3139, ce=0.0167, dice=0.5121, grad_norm=0.107937
[04:12:20.331] Epoch 1, Iter 1530: loss=0.3352, ce=0.0406, dice=0.5316, grad_norm=0.429064
[04:12:22.754] Epoch 1, Iter 1540: loss=0.2065, ce=0.0509, dice=0.3102, grad_norm=0.253226
[04:12:25.194] Epoch 1, Iter 1550: loss=0.3208, ce=0.0099, dice=0.5281, grad_norm=0.401270
[04:12:27.788] Epoch 1, Iter 1560: loss=0.3175, ce=0.0153, dice=0.5189, grad_norm=0.131481
[04:12:30.356] Epoch 1, Iter 1570: loss=0.1786, ce=0.0289, dice=0.2785, grad_norm=0.395506
[04:12:32.810] Epoch 1, Iter 1580: loss=0.0413, ce=0.0038, dice=0.0663, grad_norm=0.790911
[04:12:35.200] Epoch 1, Iter 1590: loss=0.3204, ce=0.0321, dice=0.5126, grad_norm=0.066187
[04:12:37.611] Epoch 1, Iter 1600: loss=0.3329, ce=0.0426, dice=0.5264, grad_norm=0.228719
[04:12:40.030] Epoch 1, Iter 1610: loss=0.3574, ce=0.0842, dice=0.5394, grad_norm=0.243562
[04:12:42.433] Epoch 1, Iter 1620: loss=0.3186, ce=0.0207, dice=0.5172, grad_norm=0.098715
[04:12:44.858] Epoch 1, Iter 1630: loss=0.1730, ce=0.0079, dice=0.2831, grad_norm=0.328177
[04:12:47.238] Epoch 1, Iter 1640: loss=0.3153, ce=0.0191, dice=0.5127, grad_norm=0.053973
