[11:06:11.134] Namespace(root_path='./datasets/kits23/train_npz', dataset='kits23', list_dir='./lists/kits23', num_classes=4, model_num_classes=9, output_dir='./finetune_tpgm_kits23_debug_2', max_iterations=10000, max_epochs=10, batch_size=16, n_gpu=1, deterministic=1, base_lr=0.005, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./pretrain/epoch_149.pth', data_fraction=0.2, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.001, tpgm_iters=300, tpgm_exclude=[], tpgm_frequency=1, tpgm_start_epoch=1, disable_tpgm=False, gpu_id=0)
[11:06:11.163] Using 19044/95221 samples for finetuning
[11:06:11.163] Using 50/95221 samples for TPGM
[11:06:11.164] TPGM enabled: True
[11:06:21.516] 1191 iterations per epoch
[11:06:34.989] Epoch 0, Iter 10: loss=0.6437, ce=0.4745, dice=0.7566, grad_norm=9.709021
[11:06:37.388] Epoch 0, Iter 20: loss=0.5023, ce=0.1360, dice=0.7464, grad_norm=0.160622
[11:06:39.838] Epoch 0, Iter 30: loss=0.4806, ce=0.0751, dice=0.7509, grad_norm=0.069061
[11:06:42.263] Epoch 0, Iter 40: loss=0.4597, ce=0.0354, dice=0.7427, grad_norm=0.017431
[11:06:44.705] Epoch 0, Iter 50: loss=2.1305, ce=4.1134, dice=0.8086, grad_norm=3.196151
[11:06:47.155] Epoch 0, Iter 60: loss=0.4943, ce=0.1305, dice=0.7369, grad_norm=0.691835
[11:06:49.585] Epoch 0, Iter 70: loss=0.4509, ce=0.0023, dice=0.7500, grad_norm=0.011654
[11:06:51.988] Epoch 0, Iter 80: loss=0.4777, ce=0.0692, dice=0.7500, grad_norm=0.069532
[11:06:54.396] Epoch 0, Iter 90: loss=0.4575, ce=0.0411, dice=0.7350, grad_norm=0.094575
[11:06:56.776] Epoch 0, Iter 100: loss=0.4877, ce=0.0967, dice=0.7483, grad_norm=0.086624
[11:06:59.206] Epoch 0, Iter 110: loss=0.4812, ce=0.0949, dice=0.7387, grad_norm=0.037480
[11:07:01.615] Epoch 0, Iter 120: loss=0.4668, ce=0.0470, dice=0.7468, grad_norm=0.040641
[11:07:04.036] Epoch 0, Iter 130: loss=0.4984, ce=0.1254, dice=0.7471, grad_norm=0.089919
[11:07:06.456] Epoch 0, Iter 140: loss=0.4655, ce=0.0662, dice=0.7316, grad_norm=0.036910
[11:07:08.874] Epoch 0, Iter 150: loss=0.4727, ce=0.0588, dice=0.7486, grad_norm=0.033498
[11:07:11.310] Epoch 0, Iter 160: loss=0.4561, ce=0.0409, dice=0.7329, grad_norm=0.087861
[11:07:13.723] Epoch 0, Iter 170: loss=0.4592, ce=0.0336, dice=0.7430, grad_norm=0.029548
[11:07:16.127] Epoch 0, Iter 180: loss=0.4698, ce=0.0801, dice=0.7296, grad_norm=0.005219
[11:07:18.533] Epoch 0, Iter 190: loss=0.4714, ce=0.0674, dice=0.7407, grad_norm=0.052933
[11:07:20.949] Epoch 0, Iter 200: loss=0.4565, ce=0.0332, dice=0.7388, grad_norm=0.058946
[11:07:23.348] Epoch 0, Iter 210: loss=0.4648, ce=0.0504, dice=0.7410, grad_norm=0.037180
[11:07:25.804] Epoch 0, Iter 220: loss=0.4721, ce=0.0727, dice=0.7384, grad_norm=0.046024
[11:07:28.220] Epoch 0, Iter 230: loss=0.4607, ce=0.0453, dice=0.7376, grad_norm=0.089992
[11:07:30.629] Epoch 0, Iter 240: loss=0.4730, ce=0.0626, dice=0.7466, grad_norm=0.049040
[11:07:33.055] Epoch 0, Iter 250: loss=0.4738, ce=0.0756, dice=0.7392, grad_norm=0.043499
[11:07:35.463] Epoch 0, Iter 260: loss=0.4628, ce=0.0462, dice=0.7406, grad_norm=0.046426
[11:07:37.876] Epoch 0, Iter 270: loss=0.4595, ce=0.0413, dice=0.7382, grad_norm=0.068143
[11:07:40.292] Epoch 0, Iter 280: loss=0.4835, ce=0.0992, dice=0.7398, grad_norm=0.079591
[11:07:42.760] Epoch 0, Iter 290: loss=0.4670, ce=0.0703, dice=0.7314, grad_norm=0.017120
[11:07:45.142] Epoch 0, Iter 300: loss=0.4791, ce=0.0848, dice=0.7419, grad_norm=0.053937
[11:07:47.528] Epoch 0, Iter 310: loss=0.4657, ce=0.0690, dice=0.7303, grad_norm=0.081782
[11:07:49.969] Epoch 0, Iter 320: loss=0.4608, ce=0.0699, dice=0.7215, grad_norm=0.057818
[11:07:52.438] Epoch 0, Iter 330: loss=0.4721, ce=0.0717, dice=0.7391, grad_norm=0.067582
[11:07:54.864] Epoch 0, Iter 340: loss=0.4603, ce=0.0370, dice=0.7425, grad_norm=0.027075
[11:07:57.254] Epoch 0, Iter 350: loss=0.4593, ce=0.0471, dice=0.7341, grad_norm=0.064498
[11:07:59.650] Epoch 0, Iter 360: loss=0.4684, ce=0.0585, dice=0.7417, grad_norm=0.066354
[11:08:02.072] Epoch 0, Iter 370: loss=0.4829, ce=0.0970, dice=0.7401, grad_norm=0.087415
[11:08:04.495] Epoch 0, Iter 380: loss=0.4605, ce=0.0421, dice=0.7394, grad_norm=0.014124
[11:08:06.887] Epoch 0, Iter 390: loss=0.4625, ce=0.0613, dice=0.7300, grad_norm=0.030648
[11:08:09.283] Epoch 0, Iter 400: loss=0.4694, ce=0.0585, dice=0.7433, grad_norm=0.072196
[11:08:11.694] Epoch 0, Iter 410: loss=0.4624, ce=0.0658, dice=0.7268, grad_norm=0.087368
[11:08:14.205] Epoch 0, Iter 420: loss=0.4727, ce=0.0683, dice=0.7423, grad_norm=0.065012
[11:08:16.607] Epoch 0, Iter 430: loss=0.4626, ce=0.0540, dice=0.7351, grad_norm=0.024376
[11:08:19.015] Epoch 0, Iter 440: loss=0.4563, ce=0.0310, dice=0.7399, grad_norm=0.043840
[11:08:21.439] Epoch 0, Iter 450: loss=0.4662, ce=0.0588, dice=0.7377, grad_norm=0.024191
[11:08:23.852] Epoch 0, Iter 460: loss=0.4610, ce=0.0488, dice=0.7358, grad_norm=0.021675
[11:08:26.253] Epoch 0, Iter 470: loss=0.4690, ce=0.0704, dice=0.7347, grad_norm=0.058849
[11:08:28.659] Epoch 0, Iter 480: loss=0.4590, ce=0.0493, dice=0.7322, grad_norm=0.025013
[11:08:31.047] Epoch 0, Iter 490: loss=0.4721, ce=0.0802, dice=0.7335, grad_norm=0.043606
[11:08:33.463] Epoch 0, Iter 500: loss=0.4644, ce=0.0627, dice=0.7321, grad_norm=0.020908
[11:08:35.883] Epoch 0, Iter 510: loss=0.4581, ce=0.0459, dice=0.7329, grad_norm=0.035275
[11:08:38.270] Epoch 0, Iter 520: loss=0.4647, ce=0.0515, dice=0.7401, grad_norm=0.025519
[11:08:40.667] Epoch 0, Iter 530: loss=0.4607, ce=0.0477, dice=0.7360, grad_norm=0.042235
[11:08:43.061] Epoch 0, Iter 540: loss=0.4570, ce=0.0350, dice=0.7383, grad_norm=0.030609
[11:08:45.606] Epoch 0, Iter 550: loss=0.4706, ce=0.0654, dice=0.7408, grad_norm=0.033455
[11:08:48.087] Epoch 0, Iter 560: loss=0.4628, ce=0.0609, dice=0.7308, grad_norm=0.036792
[11:08:50.503] Epoch 0, Iter 570: loss=0.4741, ce=0.0727, dice=0.7417, grad_norm=0.046468
[11:08:52.914] Epoch 0, Iter 580: loss=0.4702, ce=0.0771, dice=0.7322, grad_norm=0.031460
[11:08:55.450] Epoch 0, Iter 590: loss=0.4570, ce=0.0443, dice=0.7321, grad_norm=0.052182
[11:08:57.869] Epoch 0, Iter 600: loss=0.4662, ce=0.0588, dice=0.7379, grad_norm=0.021137
[11:09:00.304] Epoch 0, Iter 610: loss=0.4686, ce=0.0661, dice=0.7369, grad_norm=0.031411
[11:09:02.737] Epoch 0, Iter 620: loss=0.4445, ce=0.0473, dice=0.7093, grad_norm=0.142118
[11:09:05.140] Epoch 0, Iter 630: loss=0.4627, ce=0.0621, dice=0.7297, grad_norm=0.012823
[11:09:07.546] Epoch 0, Iter 640: loss=0.4613, ce=0.0458, dice=0.7383, grad_norm=0.015117
[11:09:09.969] Epoch 0, Iter 650: loss=0.4617, ce=0.0484, dice=0.7373, grad_norm=0.012739
[11:09:12.405] Epoch 0, Iter 660: loss=0.4692, ce=0.0641, dice=0.7393, grad_norm=0.042867
[11:09:14.883] Epoch 0, Iter 670: loss=0.4563, ce=0.0613, dice=0.7197, grad_norm=0.077190
[11:09:17.281] Epoch 0, Iter 680: loss=0.4625, ce=0.0657, dice=0.7270, grad_norm=0.045177
[11:09:19.696] Epoch 0, Iter 690: loss=0.4588, ce=0.0421, dice=0.7366, grad_norm=0.024459
[11:09:22.145] Epoch 0, Iter 700: loss=0.4676, ce=0.0700, dice=0.7326, grad_norm=0.032964
[11:09:24.697] Epoch 0, Iter 710: loss=0.4647, ce=0.0403, dice=0.7476, grad_norm=0.076234
[11:09:27.234] Epoch 0, Iter 720: loss=0.4658, ce=0.0610, dice=0.7357, grad_norm=0.033845
[11:09:29.667] Epoch 0, Iter 730: loss=0.4595, ce=0.0495, dice=0.7328, grad_norm=0.006360
[11:09:32.103] Epoch 0, Iter 740: loss=0.4610, ce=0.0538, dice=0.7324, grad_norm=0.010429
[11:09:34.484] Epoch 0, Iter 750: loss=0.4597, ce=0.0696, dice=0.7198, grad_norm=0.036635
[11:09:36.898] Epoch 0, Iter 760: loss=0.4602, ce=0.0520, dice=0.7324, grad_norm=0.049831
[11:09:39.273] Epoch 0, Iter 770: loss=0.4579, ce=0.0528, dice=0.7279, grad_norm=0.014800
[11:09:41.654] Epoch 0, Iter 780: loss=0.4608, ce=0.0617, dice=0.7268, grad_norm=0.023374
[11:09:44.050] Epoch 0, Iter 790: loss=0.4651, ce=0.0520, dice=0.7405, grad_norm=0.046723
