[17:11:35.040] Namespace(root_path='./datasets/lits17/train_npz', dataset='lits17', list_dir='./lists/lits17', num_classes=3, model_num_classes=9, output_dir='./finetune_tpgm_lits17', max_iterations=10000, max_epochs=20, batch_size=16, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./\\finetune_tpgm_kits23_debug/finetuned_final.pth', data_fraction=0.2, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=100, tpgm_exclude=[], tpgm_frequency=2, tpgm_start_epoch=10, disable_tpgm=False, gpu_id=1)
[17:11:35.046] --- Training on dataset: LITS17 ---
[17:11:35.046] Using 2968/14843 samples for finetuning
[17:11:35.046] Using 50/14843 samples for TPGM
[17:11:35.047] TPGM enabled: True
[17:12:38.722] Namespace(root_path='./datasets/lits17/train_npz', dataset='lits17', list_dir='./lists/lits17', num_classes=3, model_num_classes=9, output_dir='./finetune_tpgm_lits17', max_iterations=10000, max_epochs=20, batch_size=32, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./\\finetune_tpgm_kits23_debug/finetuned_final.pth', data_fraction=0.7, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=100, tpgm_exclude=[], tpgm_frequency=2, tpgm_start_epoch=10, disable_tpgm=False, gpu_id=1)
[17:12:38.726] --- Training on dataset: LITS17 ---
[17:12:38.726] Using 10390/14843 samples for finetuning
[17:12:38.726] Using 50/14843 samples for TPGM
[17:12:38.726] TPGM enabled: True
[17:12:48.446] 325 iterations per epoch
[17:13:03.011] Epoch 0, Iter 10: loss=0.2018, ce=0.0750, dice=0.2864, grad_norm=1.203550
[17:13:07.209] Epoch 0, Iter 20: loss=0.3107, ce=0.0167, dice=0.5068, grad_norm=0.522883
[17:13:11.470] Epoch 0, Iter 30: loss=0.2479, ce=0.0123, dice=0.4049, grad_norm=0.761192
[17:13:15.668] Epoch 0, Iter 40: loss=0.0730, ce=0.0193, dice=0.1087, grad_norm=0.556455
[17:13:19.883] Epoch 0, Iter 50: loss=0.2162, ce=0.0078, dice=0.3551, grad_norm=0.148555
[17:13:24.090] Epoch 0, Iter 60: loss=0.1071, ce=0.0119, dice=0.1706, grad_norm=2.891429
[17:13:28.303] Epoch 0, Iter 70: loss=0.2129, ce=0.0081, dice=0.3494, grad_norm=0.150522
[17:13:32.524] Epoch 0, Iter 80: loss=0.1068, ce=0.0150, dice=0.1679, grad_norm=1.231871
[17:13:36.754] Epoch 0, Iter 90: loss=0.0984, ce=0.0136, dice=0.1549, grad_norm=0.730307
[17:13:40.962] Epoch 0, Iter 100: loss=0.0970, ce=0.0105, dice=0.1546, grad_norm=5.310227
[17:13:45.185] Epoch 0, Iter 110: loss=0.0846, ce=0.0141, dice=0.1316, grad_norm=0.455572
[17:13:49.404] Epoch 0, Iter 120: loss=0.0664, ce=0.0112, dice=0.1032, grad_norm=0.279787
[17:13:53.623] Epoch 0, Iter 130: loss=0.0317, ce=0.0024, dice=0.0512, grad_norm=0.261454
[17:13:57.839] Epoch 0, Iter 140: loss=0.0574, ce=0.0129, dice=0.0870, grad_norm=0.565903
[17:14:02.070] Epoch 0, Iter 150: loss=0.0478, ce=0.0108, dice=0.0724, grad_norm=0.219221
[17:14:06.287] Epoch 0, Iter 160: loss=0.0369, ce=0.0073, dice=0.0566, grad_norm=0.262951
[17:14:10.524] Epoch 0, Iter 170: loss=0.0397, ce=0.0093, dice=0.0600, grad_norm=0.202801
[17:14:14.754] Epoch 0, Iter 180: loss=0.0740, ce=0.0040, dice=0.1206, grad_norm=3.331516
[17:14:18.997] Epoch 0, Iter 190: loss=0.0637, ce=0.0135, dice=0.0971, grad_norm=1.072197
[17:14:23.219] Epoch 0, Iter 200: loss=0.0954, ce=0.0085, dice=0.1534, grad_norm=1.297077
[17:14:27.454] Epoch 0, Iter 210: loss=0.0500, ce=0.0092, dice=0.0772, grad_norm=0.550221
[17:14:31.680] Epoch 0, Iter 220: loss=0.0348, ce=0.0056, dice=0.0542, grad_norm=0.962247
[17:14:35.913] Epoch 0, Iter 230: loss=0.0448, ce=0.0073, dice=0.0697, grad_norm=0.285486
[17:14:40.138] Epoch 0, Iter 240: loss=0.0377, ce=0.0069, dice=0.0582, grad_norm=0.664666
[17:14:44.365] Epoch 0, Iter 250: loss=0.2157, ce=0.0085, dice=0.3539, grad_norm=0.107417
[17:14:48.587] Epoch 0, Iter 260: loss=0.0473, ce=0.0063, dice=0.0747, grad_norm=0.358450
[17:14:52.827] Epoch 0, Iter 270: loss=0.0236, ce=0.0043, dice=0.0365, grad_norm=0.134584
[17:14:57.048] Epoch 0, Iter 280: loss=0.0405, ce=0.0099, dice=0.0610, grad_norm=0.146132
[17:15:01.289] Epoch 0, Iter 290: loss=0.0246, ce=0.0052, dice=0.0375, grad_norm=0.144361
[17:15:05.515] Epoch 0, Iter 300: loss=0.1479, ce=0.0072, dice=0.2417, grad_norm=0.913145
[17:15:09.754] Epoch 0, Iter 310: loss=0.0462, ce=0.0037, dice=0.0746, grad_norm=0.295742
[17:15:13.978] Epoch 0, Iter 320: loss=0.1505, ce=0.0077, dice=0.2456, grad_norm=4.925289
[17:15:16.578] Epoch 0: Avg Loss=0.1010, CE=0.0135, Dice=0.1593
[17:15:28.612] Epoch 1, Iter 330: loss=0.0342, ce=0.0055, dice=0.0534, grad_norm=0.404287
[17:15:32.829] Epoch 1, Iter 340: loss=0.0322, ce=0.0071, dice=0.0490, grad_norm=0.267704
[17:15:37.056] Epoch 1, Iter 350: loss=0.0352, ce=0.0028, dice=0.0568, grad_norm=0.425403
[17:15:41.266] Epoch 1, Iter 360: loss=0.0532, ce=0.0071, dice=0.0839, grad_norm=0.795970
[17:15:45.515] Epoch 1, Iter 370: loss=0.0457, ce=0.0052, dice=0.0726, grad_norm=1.309570
