[17:54:35.288] Namespace(root_path='./datasets/lits17/train_npz', dataset='lits17', list_dir='./lists/lits17', num_classes=3, model_num_classes=9, output_dir='./finetune_tpgm_lits17_debug', max_iterations=10000, max_epochs=20, batch_size=16, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./finetune_tpgm_kits23_debug/finetuned_final.pth', data_fraction=0.2, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=100, tpgm_exclude=[], tpgm_frequency=2, tpgm_start_epoch=10, disable_tpgm=False, gpu_id=1)
[17:54:35.293] Training lits17 with 3 classes
[17:54:35.293] Using 2968/14843 samples for finetuning
[17:54:35.293] Using 50/14843 samples for TPGM
[17:54:35.293] TPGM enabled: True
[17:54:46.478] 186 iterations per epoch
[17:55:00.502] Epoch 0, Iter 10: loss=0.3005, ce=0.0812, dice=0.4467, grad_norm=0.617134
[17:55:02.711] Epoch 0, Iter 20: loss=0.1568, ce=0.0476, dice=0.2296, grad_norm=1.909101
[17:55:04.943] Epoch 0, Iter 30: loss=0.2279, ce=0.0169, dice=0.3686, grad_norm=0.290755
[17:55:07.154] Epoch 0, Iter 40: loss=0.1029, ce=0.0162, dice=0.1607, grad_norm=1.126135
[17:55:09.384] Epoch 0, Iter 50: loss=0.2482, ce=0.0194, dice=0.4008, grad_norm=0.223036
[17:55:11.570] Epoch 0, Iter 60: loss=0.1846, ce=0.0057, dice=0.3040, grad_norm=1.208879
[17:55:13.766] Epoch 0, Iter 70: loss=0.2380, ce=0.0267, dice=0.3789, grad_norm=0.243705
[17:55:15.948] Epoch 0, Iter 80: loss=0.1975, ce=0.0149, dice=0.3192, grad_norm=0.830518
[17:55:18.143] Epoch 0, Iter 90: loss=0.0949, ce=0.0056, dice=0.1545, grad_norm=1.384770
[17:55:20.330] Epoch 0, Iter 100: loss=0.2272, ce=0.0181, dice=0.3665, grad_norm=0.391445
[17:55:22.518] Epoch 0, Iter 110: loss=0.0486, ce=0.0165, dice=0.0701, grad_norm=0.931266
[17:55:24.720] Epoch 0, Iter 120: loss=0.0755, ce=0.0093, dice=0.1196, grad_norm=1.364743
[17:55:26.917] Epoch 0, Iter 130: loss=0.0776, ce=0.0057, dice=0.1256, grad_norm=0.193375
[17:55:29.125] Epoch 0, Iter 140: loss=0.2138, ce=0.0052, dice=0.3529, grad_norm=0.087870
[17:55:31.342] Epoch 0, Iter 150: loss=0.0706, ce=0.0093, dice=0.1115, grad_norm=1.512717
[17:55:33.536] Epoch 0, Iter 160: loss=0.2164, ce=0.0084, dice=0.3550, grad_norm=0.238587
