[00:32:37.040] Namespace(root_path='./datasets/lits17/train_npz', dataset='lits17', list_dir='./lists/lits17', num_classes=3, model_num_classes=9, output_dir='./finetune_tpgm_surgical_lits17', max_iterations=10000, max_epochs=25, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.0005, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./finetune_tpgm_kits23_debug/finetuned_final.pth', data_fraction=0.7, freeze_layers=0, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=100, tpgm_exclude=[], tpgm_frequency=3, tpgm_start_epoch=8, disable_tpgm=False, auto_tune='RGN', gradient_batches=5, surgical_frequency=4, surgical_start_epoch=5, gpu_id=1)
[00:32:37.045] --- Combined TPGM + Surgical Fine-tuning on dataset: LITS17 ---
[00:32:37.045] Using 10390/14843 samples for finetuning
[00:32:37.045] Using 50/14843 samples for TPGM
[00:32:37.045] TPGM enabled: True
[00:32:37.045] Surgical tuning method: RGN
[00:32:48.530] 433 iterations per epoch
[00:33:03.441] Epoch 0, Iter 10: loss=0.2508, ce=0.0192, dice=0.4053, grad_norm=1.582542
[00:33:06.585] Epoch 0, Iter 20: loss=0.2244, ce=0.0125, dice=0.3656, grad_norm=1.199422
[00:33:09.801] Epoch 0, Iter 30: loss=0.0683, ce=0.0208, dice=0.1000, grad_norm=1.291842
[00:33:12.932] Epoch 0, Iter 40: loss=0.2346, ce=0.0103, dice=0.3842, grad_norm=0.673991
[00:33:16.073] Epoch 0, Iter 50: loss=0.1834, ce=0.0133, dice=0.2968, grad_norm=0.980991
[00:33:19.207] Epoch 0, Iter 60: loss=0.2176, ce=0.0249, dice=0.3461, grad_norm=0.730561
[00:33:22.362] Epoch 0, Iter 70: loss=0.1260, ce=0.0111, dice=0.2026, grad_norm=0.809066
[00:33:25.498] Epoch 0, Iter 80: loss=0.2431, ce=0.0169, dice=0.3939, grad_norm=0.592532
[00:33:28.650] Epoch 0, Iter 90: loss=0.1463, ce=0.0162, dice=0.2330, grad_norm=0.631053
[00:33:31.794] Epoch 0, Iter 100: loss=0.0925, ce=0.0107, dice=0.1469, grad_norm=0.415194
[00:33:34.941] Epoch 0, Iter 110: loss=0.0879, ce=0.0186, dice=0.1341, grad_norm=0.890461
[00:33:38.084] Epoch 0, Iter 120: loss=0.1078, ce=0.0160, dice=0.1691, grad_norm=0.556454
[00:33:41.243] Epoch 0, Iter 130: loss=0.1238, ce=0.0170, dice=0.1949, grad_norm=2.736730
[00:33:44.430] Epoch 0, Iter 140: loss=0.1659, ce=0.0191, dice=0.2638, grad_norm=1.219064
[00:33:47.595] Epoch 0, Iter 150: loss=0.1401, ce=0.0231, dice=0.2181, grad_norm=1.368200
[00:33:50.741] Epoch 0, Iter 160: loss=0.1289, ce=0.0178, dice=0.2030, grad_norm=0.664357
[00:33:53.903] Epoch 0, Iter 170: loss=0.1052, ce=0.0168, dice=0.1641, grad_norm=0.682828
[00:33:57.045] Epoch 0, Iter 180: loss=0.1595, ce=0.0047, dice=0.2626, grad_norm=1.191496
[00:34:00.207] Epoch 0, Iter 190: loss=0.0349, ce=0.0094, dice=0.0520, grad_norm=0.122942
[00:34:03.356] Epoch 0, Iter 200: loss=0.0604, ce=0.0100, dice=0.0941, grad_norm=2.033869
[00:34:06.511] Epoch 0, Iter 210: loss=0.0469, ce=0.0123, dice=0.0700, grad_norm=0.546605
