[14:30:48.393] Namespace(root_path='./datasets/lits17/train_npz', dataset='lits17', list_dir='./lists/lits17', stage=2, num_classes_old=12, num_classes_new=3, num_classes_lits17=3, output_dir='./simple_finetuning_lits17', max_iterations=10000, max_epochs=15, batch_size=32, n_gpu=1, deterministic=1, base_lr=0.001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./debug_simple/continual_surgical_tpgm_final.pth', data_fraction=0.5, kd_temperature=3.0, kd_weight=0.2, freeze_old_classes=False, auto_tune='none', gradient_batches=5, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=200, tpgm_exclude=[], tpgm_frequency=5, tpgm_start_epoch=10, disable_tpgm=True, tpgm_data_fraction=0.1, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False)
[14:30:48.397] Stage 2: Using 7421/14843 samples (50.0%) for continual learning
[14:30:48.397] Old classes: 12, New classes: 3, Total: 14
[14:30:48.397] Dataset: lits17
[14:30:48.397] TPGM enabled: False
[14:30:48.397] Surgical fine-tuning method: none
[14:31:36.148] Combined Continual Learning Stage 2 + Surgical + TPGM Configuration:
[14:31:36.148] KD Temperature: 3.0
[14:31:36.148] KD Weight: 0.2
[14:31:36.148] Auto-tune method: none
[14:31:36.148] TPGM start epoch: 10
[14:31:36.148] TPGM frequency: 5
[14:31:36.149] 232 iterations per epoch. 3480 max iterations 
[14:31:52.955] iteration 10 : loss : 894.000488, loss_ce: 0.512778, loss_kd: 4466.819336
[14:31:58.570] iteration 20 : loss : 377.813080, loss_ce: 0.509655, loss_kd: 1885.876953
[14:32:04.211] iteration 30 : loss : 264.885925, loss_ce: 0.436368, loss_kd: 1321.305908
[14:32:09.847] iteration 40 : loss : 138.111206, loss_ce: 0.426412, loss_kd: 687.434753
[14:32:15.496] iteration 50 : loss : 124.122185, loss_ce: 0.706507, loss_kd: 617.262207
[14:32:21.141] iteration 60 : loss : 104.575134, loss_ce: 0.496659, loss_kd: 519.697144
[14:32:26.793] iteration 70 : loss : 109.465569, loss_ce: 0.397253, loss_kd: 544.216431
[14:32:32.440] iteration 80 : loss : 75.769417, loss_ce: 0.441663, loss_kd: 375.718201
[14:32:38.099] iteration 90 : loss : 57.362541, loss_ce: 0.386764, loss_kd: 283.727875
[14:32:43.749] iteration 100 : loss : 68.861023, loss_ce: 0.458601, loss_kd: 341.158997
[14:32:49.412] iteration 110 : loss : 60.060860, loss_ce: 0.439671, loss_kd: 297.163330
[14:32:55.063] iteration 120 : loss : 59.106144, loss_ce: 0.373446, loss_kd: 292.459106
[14:33:00.728] iteration 130 : loss : 105.802948, loss_ce: 0.404861, loss_kd: 525.909058
[14:33:06.385] iteration 140 : loss : 79.450043, loss_ce: 0.348110, loss_kd: 394.193115
[14:33:12.055] iteration 150 : loss : 67.427696, loss_ce: 0.361832, loss_kd: 334.073578
[14:33:17.716] iteration 160 : loss : 144.350220, loss_ce: 0.356646, loss_kd: 718.685486
[14:33:23.388] iteration 170 : loss : 122.519455, loss_ce: 0.291967, loss_kd: 609.582458
[14:33:29.045] iteration 180 : loss : 137.165451, loss_ce: 0.311106, loss_kd: 682.798279
[14:33:34.721] iteration 190 : loss : 84.056030, loss_ce: 0.334627, loss_kd: 417.228027
[14:33:40.388] iteration 200 : loss : 92.833664, loss_ce: 0.185337, loss_kd: 461.241425
[14:33:46.071] iteration 210 : loss : 90.097328, loss_ce: 0.252171, loss_kd: 447.505127
[14:33:51.740] iteration 220 : loss : 58.912331, loss_ce: 0.202323, loss_kd: 291.622528
[14:33:57.416] iteration 230 : loss : 58.378529, loss_ce: 0.232561, loss_kd: 288.927704
[14:34:13.954] iteration 240 : loss : 136.423828, loss_ce: 0.156674, loss_kd: 679.215271
[14:34:19.620] iteration 250 : loss : 225.090439, loss_ce: 0.183871, loss_kd: 1122.547119
[14:34:25.278] iteration 260 : loss : 123.534264, loss_ce: 0.178035, loss_kd: 614.763184
[14:34:30.951] iteration 270 : loss : 115.737289, loss_ce: 0.077451, loss_kd: 575.876099
[14:34:36.619] iteration 280 : loss : 84.403229, loss_ce: 0.065016, loss_kd: 419.243500
[14:34:42.303] iteration 290 : loss : 83.155396, loss_ce: 0.061764, loss_kd: 413.051819
[14:34:47.972] iteration 300 : loss : 106.971344, loss_ce: 0.082772, loss_kd: 532.148071
[14:34:53.648] iteration 310 : loss : 84.539360, loss_ce: 0.040450, loss_kd: 420.065613
[14:34:59.321] iteration 320 : loss : 126.701424, loss_ce: 0.091183, loss_kd: 630.842163
[14:35:05.001] iteration 330 : loss : 89.239616, loss_ce: 0.040669, loss_kd: 443.586212
[14:35:10.673] iteration 340 : loss : 164.391144, loss_ce: 0.038441, loss_kd: 819.333435
[14:35:16.357] iteration 350 : loss : 193.506302, loss_ce: 0.026173, loss_kd: 964.934631
[14:35:22.033] iteration 360 : loss : 123.660713, loss_ce: 0.046859, loss_kd: 615.698120
[14:35:27.720] iteration 370 : loss : 84.596893, loss_ce: 0.041166, loss_kd: 420.361328
[14:35:33.395] iteration 380 : loss : 85.602051, loss_ce: 0.026839, loss_kd: 425.426392
[14:35:39.086] iteration 390 : loss : 110.484215, loss_ce: 0.017541, loss_kd: 549.838867
[14:35:44.764] iteration 400 : loss : 57.322571, loss_ce: 0.030188, loss_kd: 284.014038
[14:35:50.461] iteration 410 : loss : 73.386086, loss_ce: 0.052585, loss_kd: 364.316528
[14:35:56.146] iteration 420 : loss : 92.059509, loss_ce: 0.020651, loss_kd: 457.725464
[14:36:01.839] iteration 430 : loss : 59.603951, loss_ce: 0.036148, loss_kd: 295.409485
[14:36:07.527] iteration 440 : loss : 58.374912, loss_ce: 0.032268, loss_kd: 289.294647
[14:36:13.221] iteration 450 : loss : 79.350067, loss_ce: 0.033197, loss_kd: 394.178955
[14:36:18.910] iteration 460 : loss : 52.263176, loss_ce: 0.035715, loss_kd: 258.733887
[14:36:35.380] iteration 470 : loss : 62.337688, loss_ce: 0.041586, loss_kd: 309.083557
[14:36:41.046] iteration 480 : loss : 136.060013, loss_ce: 0.038367, loss_kd: 677.698486
[14:36:46.729] iteration 490 : loss : 73.405083, loss_ce: 0.014898, loss_kd: 364.458679
[14:36:52.403] iteration 500 : loss : 101.433311, loss_ce: 0.012726, loss_kd: 504.614197
[14:36:58.093] iteration 510 : loss : 64.159042, loss_ce: 0.026976, loss_kd: 318.222534
[14:37:03.767] iteration 520 : loss : 231.871902, loss_ce: 0.027662, loss_kd: 1156.794189
[14:37:09.454] iteration 530 : loss : 118.682915, loss_ce: 0.021687, loss_kd: 590.846069
[14:37:15.136] iteration 540 : loss : 118.183144, loss_ce: 0.022158, loss_kd: 588.350891
[14:37:20.827] iteration 550 : loss : 113.315918, loss_ce: 0.023501, loss_kd: 564.044861
[14:37:26.514] iteration 560 : loss : 113.623238, loss_ce: 0.013119, loss_kd: 565.590271
[14:37:32.212] iteration 570 : loss : 83.416618, loss_ce: 0.019683, loss_kd: 414.559875
[14:37:37.905] iteration 580 : loss : 80.293053, loss_ce: 0.016906, loss_kd: 398.890503
[14:37:43.608] iteration 590 : loss : 75.779556, loss_ce: 0.034624, loss_kd: 376.340759
[14:37:49.305] iteration 600 : loss : 125.280769, loss_ce: 0.031290, loss_kd: 623.840637
[14:37:55.015] iteration 610 : loss : 95.312805, loss_ce: 0.011816, loss_kd: 474.050385
[14:38:00.714] iteration 620 : loss : 133.662857, loss_ce: 0.026140, loss_kd: 665.790894
[14:38:06.420] iteration 630 : loss : 95.559952, loss_ce: 0.026338, loss_kd: 475.244476
[14:38:12.122] iteration 640 : loss : 79.008614, loss_ce: 0.027136, loss_kd: 392.502686
[14:38:17.840] iteration 650 : loss : 75.638100, loss_ce: 0.019393, loss_kd: 375.631287
[14:38:23.544] iteration 660 : loss : 94.728195, loss_ce: 0.016185, loss_kd: 471.085266
[14:38:29.257] iteration 670 : loss : 226.615250, loss_ce: 0.022148, loss_kd: 1130.518433
[14:38:34.968] iteration 680 : loss : 103.915123, loss_ce: 0.014911, loss_kd: 517.054504
[14:38:40.686] iteration 690 : loss : 75.114952, loss_ce: 0.016686, loss_kd: 373.077484
[14:38:57.028] iteration 700 : loss : 74.610542, loss_ce: 0.023690, loss_kd: 370.520782
[14:39:02.716] iteration 710 : loss : 71.725128, loss_ce: 0.031216, loss_kd: 356.095734
[14:39:08.388] iteration 720 : loss : 59.374783, loss_ce: 0.012068, loss_kd: 294.377441
[14:39:14.078] iteration 730 : loss : 68.701279, loss_ce: 0.032301, loss_kd: 340.981293
[14:39:19.767] iteration 740 : loss : 71.539215, loss_ce: 0.016061, loss_kd: 355.172668
[14:39:25.464] iteration 750 : loss : 66.431908, loss_ce: 0.020265, loss_kd: 329.655426
[14:39:31.151] iteration 760 : loss : 104.497238, loss_ce: 0.026931, loss_kd: 519.983459
[14:39:36.853] iteration 770 : loss : 151.414001, loss_ce: 0.028781, loss_kd: 754.520203
[14:39:42.542] iteration 780 : loss : 100.736237, loss_ce: 0.028277, loss_kd: 501.111359
[14:39:48.251] iteration 790 : loss : 113.461281, loss_ce: 0.012660, loss_kd: 564.777832
[14:39:53.952] iteration 800 : loss : 81.225929, loss_ce: 0.057733, loss_kd: 403.560455
[14:39:59.673] iteration 810 : loss : 56.008228, loss_ce: 0.024774, loss_kd: 277.525970
[14:40:05.383] iteration 820 : loss : 55.062946, loss_ce: 0.027646, loss_kd: 272.806152
[14:40:11.103] iteration 830 : loss : 85.147507, loss_ce: 0.027875, loss_kd: 423.152435
[14:40:16.810] iteration 840 : loss : 84.558327, loss_ce: 0.011425, loss_kd: 420.289978
[14:40:22.523] iteration 850 : loss : 81.842667, loss_ce: 0.031958, loss_kd: 406.689240
[14:40:28.236] iteration 860 : loss : 87.217110, loss_ce: 0.021054, loss_kd: 433.563232
[14:40:33.954] iteration 870 : loss : 98.470116, loss_ce: 0.016429, loss_kd: 489.833099
[14:40:39.667] iteration 880 : loss : 93.318138, loss_ce: 0.036677, loss_kd: 464.031067
[14:40:45.389] iteration 890 : loss : 89.271935, loss_ce: 0.025768, loss_kd: 443.788574
[14:40:51.111] iteration 900 : loss : 86.246704, loss_ce: 0.024407, loss_kd: 428.735535
[14:40:56.843] iteration 910 : loss : 115.490349, loss_ce: 0.019452, loss_kd: 574.965027
[14:41:02.569] iteration 920 : loss : 149.132492, loss_ce: 0.020449, loss_kd: 743.104187
[14:41:19.425] iteration 930 : loss : 99.792480, loss_ce: 0.012443, loss_kd: 496.459320
[14:41:25.092] iteration 940 : loss : 137.273941, loss_ce: 0.015991, loss_kd: 683.874878
[14:41:30.782] iteration 950 : loss : 109.701859, loss_ce: 0.024336, loss_kd: 546.001343
[14:41:36.469] iteration 960 : loss : 82.839211, loss_ce: 0.025014, loss_kd: 411.678619
